# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
6.431,-104.1739502,104.1739578,-21.62231255,21.62231445,8.534142837e-011,-0.001625124132,0.001625124132,-3.890145497e-011,3.890423539e-010,7.03255415,7.032132626,6.056659063e-010,-2.577338286e-017,0.001688749413,-0.001688749529,-1.885480216e-008,0.001333800494,-0.001333800494
6.441,-104.3568802,104.3568802,-21.65726662,21.65726662,8.59896182e-011,-0.001626693644,0.001626693644,-3.425223646e-011,2.81411925e-011,7.031414509,7.030994415,6.092850668e-010,-2.338390292e-017,0.001690495643,-0.001690495643,-1.88969107e-008,0.00133460958,-0.00133460958
6.451,-104.5365143,104.5365143,-21.69378471,21.69378471,8.609326446e-011,-0.001628239639,0.001628239639,-2.965249574e-011,-3.133046045e-010,7.030293465,7.029874802,6.090968285e-010,-2.121211044e-017,0.00169220916,-0.00169220916,-1.892346191e-008,0.001335441717,-0.001335441717
6.461,-104.7129059,104.7129059,-21.73177528,21.73177528,8.5681226e-011,-0.00162976305,0.00162976305,-2.512689883e-011,-6.342838477e-010,7.029190063,7.028772831,6.053095802e-010,-1.92444529e-017,0.001693890663,-0.001693890663,-1.893405077e-008,0.001336294576,-0.001336294576
6.471,-104.886116,104.886116,-21.77109909,21.77109718,8.478385355e-011,-0.001631264575,0.001631264575,-2.069853837e-011,-9.34092137e-010,7.028105259,7.027689457,5.981414808e-010,-1.745806042e-017,0.001695541316,-0.001695541199,-1.892795964e-008,0.001337165246,-0.001337165246
6.481,-105.0562592,105.0562592,-21.81158066,21.81157875,8.343271907e-011,-0.001632744912,0.001632744912,-1.638836983e-011,-1.211999612e-009,7.027038097,7.026623249,5.878190712e-010,-1.583853342e-017,0.001697162515,-0.001697162515,-1.890429857e-008,0.001338050584,-0.001338050584
6.491,-105.2234802,105.2234802,-21.85302734,21.85302544,8.166039372e-011,-0.001634204644,0.001634204644,-1.22155697e-011,-1.46760859e-009,7.025988102,7.025574684,5.745751097e-010,-1.436808423e-017,0.001698755892,-0.001698755892,-1.886252576e-008,0.001338947099,-0.001338947099
6.501,-105.3879013,105.3879013,-21.89522934,21.89522743,7.950018421e-011,-0.001635644585,0.001635644585,-8.197687321e-012,-1.700661723e-009,7.024955273,7.024543285,5.58646962e-010,-1.303315947e-017,0.001700322726,-0.001700322609,-1.880229306e-008,0.001339851529,-0.001339851529
6.511,-105.5496521,105.5496445,-21.93798447,21.93798256,7.698588295e-011,-0.001637064968,0.001637064968,-4.350167795e-012,-1.910943181e-009,7.02393961,7.023529053,5.402751024e-010,-1.182529049e-017,0.001701864065,-0.001701864065,-1.872338729e-008,0.001340760617,-0.001340760617
6.521,-105.7088318,105.7088318,-21.98109245,21.98109055,7.415155989e-011,-0.001638466492,0.001638466492,-6.86637921e-013,-2.09843698e-009,7.022940159,7.022531033,5.197012265e-010,-1.072668876e-017,0.001703381073,-0.001703381073,-1.86258422e-008,0.001341671334,-0.001341671334
